Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     251 |                14705                14667                14725                14525                15653                14355
     252 |                14782                14835                14759                14571                15709                14516
     253 |                14861                14937                14955                14631                15865                14631
     254 |                15008                15024                15113                14808                16049                14698
     255 |                15125                15133                15151                14873                16169                14861
     256 |                15347                15350                15265                15053                16252                14995
     257 |                15462                15442                15484                15128                16336                15048
     258 |                15469                15547                15541                15121                16566                15110
     259 |                15601                15581                15665                15395                16659                15287
     260 |                15770                15799                15767                15568                16709                15529
     261 |                15936                15912                15942                15648                16858                15568
     262 |                16036                15971                16071                15806                16894                15668
     263 |                16096                16124                16154                15862                17252                15872
     264 |                16258                16297                16307                15972                17364                15909
     265 |                16438                16414                16444                16114                17528                16066
     266 |                16495                16494                16543                16208                17645                16229
     267 |                16682                16602                16678                16412                17610                16264
     268 |                16787                16726                16873                16489                17842                16352
     269 |                16947                16895                16889                16603                17959                16577
     270 |                17088                17047                17028                16777                18160                16741
     271 |                17038                17302                17194                16874                18286                16810
     272 |                17380                17165                17351                16967                18399                16930
     273 |                17426                17254                17410                17164                18528                17044
     274 |                17595                17530                17662                17281                18637                17174
     275 |                17722                17708                17812                17468                18800                17332
     276 |                17918                17698                17794                17580                18863                17522
     277 |                17881                17973                17839                17701                19049                17679
     278 |                18126                18080                18048                17754                19235                17706
     279 |                18219                18161                18239                17913                19445                17895
     280 |                18361                18332                18395                18133                19523                17989
     281 |                18474                18388                18480                18048                19454                18060
     282 |                18585                18577                18663                18216                19780                18268
     283 |                18772                18886                18836                18522                20032                18402
     284 |                18915                18997                18907                18618                20176                18513
     285 |                19147                19055                19093                18831                20277                18641
     286 |                19107                19225                19149                18785                20328                18741
     287 |                19194                19350                19302                18946                20596                18926
     288 |                19384                19406                19405                19143                20597                19104
     289 |                19700                19476                19640                19246                20776                19194
     290 |                19703                19754                19672                19340                20771                19307
     291 |                19930                19816                19760                19520                21166                19356
     292 |                19952                19957                19942                19632                21261                19585
     293 |                20240                20120                20092                19816                21442                19766
     294 |                20386                20265                20257                19976                21577                19853
     295 |                20429                20397                20489                20043                21731                20055
     296 |                20479                20475                20480                19971                21854                20154
     297 |                20781                20585                20721                20423                21981                20317
     298 |                20691                20822                20824                20466                22228                20426
     299 |                21005                21045                20987                20601                22263                20503
     300 |                21140                21111                21038                20845                22454                20736
     301 |                21405                21213                21263                21015                22675                20913
     302 |                21457                21460                21433                21114                22679                20919
     303 |                21720                21656                21512                21234                22714                21158
